"month","IATA_CODE","carrier","carrier_name","arr_flights","carrier_ct","weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_delay","AIRPORT","CITY","STATE","LATITUDE","LONGITUDE"
1,"LAX","G4","Allegiant Air",109,3.34,1.47,10.59,0.32,15.28,1968,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
10,"LAX","OO","SkyWest Airlines Inc.",2730,64.01,10.01,167.1,0,201.89,31573,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
12,"LAX","AA","American Airlines Inc.",3594,165.97,13.32,261.79,2.82,123.1,30724,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
5,"LAX","AS","Alaska Airlines Inc.",1954,107.6,2.93,256.41,0.35,84.7,20143,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
2,"LAX","AA","American Airlines Inc.",2885,133.81,15.44,130.36,2.22,99.18,21567,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
11,"LAX","WN","Southwest Airlines Co.",3503,189.86,2.98,102.39,1.94,268.83,29401,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
1,"LAX","WN","Southwest Airlines Co.",3604,185.48,3.51,149.51,3.08,254.43,28183,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
12,"LAX","UA","United Air Lines Inc.",2418,124.04,8.73,169.86,0,128.37,28050,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
6,"LAX","F9","Frontier Airlines Inc.",90,11.36,0,4.04,0,10.61,1749,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
4,"LAX","G4","Allegiant Air",97,6.92,0,9.16,0,12.92,2105,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
10,"LAX","NK","Spirit Air Lines",658,13.44,0.45,41.93,1.55,13.63,4401,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
5,"LAX","NK","Spirit Air Lines",724,29.95,1.64,73.74,0,30.67,8822,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
8,"LAX","AA","American Airlines Inc.",3567,231.17,48.86,204.37,1.84,222.75,45886,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
7,"LAX","G4","Allegiant Air",239,14.01,1.25,10.19,0.26,30.29,3567,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
9,"LAX","AS","Alaska Airlines Inc.",1712,69.33,0.11,123.01,0,54.55,11322,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
12,"LAX","OO","SkyWest Airlines Inc.",2771,103.66,12.87,206.98,0,247.49,43488,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
9,"LAX","AA","American Airlines Inc.",3403,176.36,32.94,143.81,2.46,155.43,35223,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
3,"LAX","HA","Hawaiian Airlines Inc.",176,25.47,0,0,0.94,15.59,1678,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
2,"LAX","WN","Southwest Airlines Co.",3173,261.68,7.89,234.29,2.33,370.82,38992,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
1,"LAX","DL","Delta Air Lines Inc.",2455,122.53,30.27,124.96,0,49.24,21413,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
9,"LAX","F9","Frontier Airlines Inc.",107,9.32,0,1.02,0,11.67,1143,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
12,"LAX","HA","Hawaiian Airlines Inc.",186,52.79,0,0,0,10.21,2796,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
5,"LAX","AA","American Airlines Inc.",3450,175.04,27.94,185.65,0,179.37,35821,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
4,"LAX","NK","Spirit Air Lines",681,2.52,0,112.41,0,2.07,5882,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
5,"LAX","UA","United Air Lines Inc.",2632,93.8,28.52,211.53,0,127.15,27412,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
3,"LAX","B6","JetBlue Airways",551,50.7,2.6,80.88,0,23.81,7278,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
1,"LAX","NK","Spirit Air Lines",682,24.28,3,37.05,0.94,17.74,4683,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
1,"LAX","VX","Virgin America",1201,33.65,6.48,60.93,1.21,35.73,6633,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
12,"LAX","AS","Alaska Airlines Inc.",1712,49.03,1.63,152.22,0.46,94.66,13270,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
3,"LAX","F9","Frontier Airlines Inc.",124,11.71,0,18.84,0,6.44,1858,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
12,"LAX","G4","Allegiant Air",123,6.58,1.27,11.61,0,9.54,1680,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
6,"LAX","UA","United Air Lines Inc.",2690,113.86,34.17,164.86,0.12,156.98,33606,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
6,"LAX","HA","Hawaiian Airlines Inc.",184,58.34,0,0,0.33,3.32,2113,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
4,"LAX","OO","SkyWest Airlines Inc.",2550,66.18,11.58,235.05,0.75,152.45,26345,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
6,"LAX","NK","Spirit Air Lines",768,12.41,1.94,83.16,0,12.49,6283,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
9,"LAX","DL","Delta Air Lines Inc.",2875,111.41,8.17,97.63,0.82,57.98,17073,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
12,"LAX","F9","Frontier Airlines Inc.",55,2.54,0,4.65,0,0.8,361,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
5,"LAX","WN","Southwest Airlines Co.",3667,301.96,8.17,352.92,1,373.95,49958,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
8,"LAX","NK","Spirit Air Lines",793,35.13,2.18,57.1,1.05,49.54,12001,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
6,"LAX","B6","JetBlue Airways",516,31.31,6.65,31.08,0,18.95,5254,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
4,"LAX","B6","JetBlue Airways",529,35.54,3.47,53.04,0,19.96,6473,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
1,"LAX","AA","American Airlines Inc.",3153,148.71,20.3,109.1,1.1,91.79,25934,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
5,"LAX","HA","Hawaiian Airlines Inc.",186,35.71,0,0,0,15.29,2091,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
12,"LAX","DL","Delta Air Lines Inc.",2858,139.39,12.94,271.91,0,80.76,24625,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
4,"LAX","F9","Frontier Airlines Inc.",97,3.91,0,6.66,0,9.43,1218,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
3,"LAX","G4","Allegiant Air",117,10.34,0.67,23.97,0,10.02,1863,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
6,"LAX","DL","Delta Air Lines Inc.",3272,179.36,23.54,122.77,0,118.33,33905,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
2,"LAX","F9","Frontier Airlines Inc.",112,11.38,0.54,17.79,0,10.3,2621,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
7,"LAX","WN","Southwest Airlines Co.",3672,232.4,15.45,128.8,2.16,353.2,38732,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
7,"LAX","AS","Alaska Airlines Inc.",1973,137.24,4.91,151.53,0.18,87.14,18536,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
1,"LAX","AS","Alaska Airlines Inc.",702,13.28,1.68,34.53,0,6.51,2480,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
4,"LAX","AS","Alaska Airlines Inc.",1850,64.84,7.82,218.31,1.43,81.6,18280,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
11,"LAX","AA","American Airlines Inc.",3381,176.01,14.53,171.83,0.6,144.03,29239,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
3,"LAX","DL","Delta Air Lines Inc.",2739,167.61,12.99,381.21,0,94.19,33323,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
2,"LAX","AS","Alaska Airlines Inc.",605,12.94,2.11,21.17,0.23,8.55,1986,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
11,"LAX","NK","Spirit Air Lines",651,25.64,0.96,46.92,1.38,21.1,6426,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
6,"LAX","AS","Alaska Airlines Inc.",1965,106.22,3.29,165.78,1.41,78.3,16132,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
2,"LAX","B6","JetBlue Airways",482,42.17,0,107.99,0,9.84,6643,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
8,"LAX","UA","United Air Lines Inc.",2664,138.29,35.43,148.73,0,222.56,39997,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
2,"LAX","G4","Allegiant Air",100,8.47,1.92,16.53,0,15.08,2310,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
7,"LAX","HA","Hawaiian Airlines Inc.",200,46.29,0,0.07,0,6.64,2087,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
9,"LAX","G4","Allegiant Air",97,8.43,0,0.28,0,5.3,970,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
3,"LAX","UA","United Air Lines Inc.",2267,105.34,9.98,166.51,0,92.17,22298,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
3,"LAX","VX","Virgin America",1335,61.87,1.32,160.86,1.38,85.57,15993,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
1,"LAX","UA","United Air Lines Inc.",2126,87.05,19.48,84.36,0,61.11,16865,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
1,"LAX","HA","Hawaiian Airlines Inc.",162,56.15,0,0.68,0.75,4.43,2373,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
8,"LAX","DL","Delta Air Lines Inc.",3378,151.62,28.15,147.22,0.9,180.11,30735,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
11,"LAX","G4","Allegiant Air",109,11.64,0,4.34,0,9.02,3099,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
3,"LAX","OO","SkyWest Airlines Inc.",3053,76.46,12.28,374.75,1,277.52,45553,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
9,"LAX","B6","JetBlue Airways",492,21.93,5.37,16.54,0.56,30.59,4591,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
2,"LAX","DL","Delta Air Lines Inc.",2256,112.06,13.64,240.8,0,54.49,20716,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
6,"LAX","WN","Southwest Airlines Co.",3565,212.49,10.26,146.35,3.49,322.41,34903,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
9,"LAX","OO","SkyWest Airlines Inc.",2591,60.59,6.21,80.06,0.85,134.3,19112,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
3,"LAX","NK","Spirit Air Lines",680,23.39,1.88,87.42,0,16.31,6838,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
7,"LAX","OO","SkyWest Airlines Inc.",2745,107.25,8.2,122.94,1.5,221.11,33352,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
7,"LAX","NK","Spirit Air Lines",792,23.52,5.93,68.66,0,38.89,10539,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
10,"LAX","AS","Alaska Airlines Inc.",1794,74.4,5.01,198,0,85.59,15660,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
11,"LAX","DL","Delta Air Lines Inc.",2704,96.42,18.34,137.6,0,85.64,24486,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
9,"LAX","WN","Southwest Airlines Co.",3537,140.83,11.9,121.76,1.55,214.96,23053,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
8,"LAX","WN","Southwest Airlines Co.",3757,215.42,13.84,135.71,0.87,323.17,37282,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
6,"LAX","AA","American Airlines Inc.",3463,201.71,43.24,145.11,1.72,192.22,44309,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
12,"LAX","WN","Southwest Airlines Co.",3421,224.16,7.63,162.9,3.15,296.15,34559,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
10,"LAX","UA","United Air Lines Inc.",2332,119.04,9.86,232.1,0,86,24726,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
3,"LAX","WN","Southwest Airlines Co.",3648,301.92,12.13,539.92,2.66,474.37,66877,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
2,"LAX","UA","United Air Lines Inc.",1915,88.14,13.91,159.36,0,40.59,14668,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
4,"LAX","HA","Hawaiian Airlines Inc.",180,30.88,2,1.12,0,13,2205,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
10,"LAX","G4","Allegiant Air",93,10.51,1.5,4.31,0,9.68,2617,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
10,"LAX","HA","Hawaiian Airlines Inc.",186,48.37,0,0.09,1.42,5.13,2630,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
11,"LAX","UA","United Air Lines Inc.",2292,102.83,11.16,132.41,0,126.6,27010,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
12,"LAX","B6","JetBlue Airways",543,33.64,0,46.64,0,23.71,5998,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
8,"LAX","OO","SkyWest Airlines Inc.",2773,91.97,10.06,115.83,0.08,238.06,35317,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
9,"LAX","HA","Hawaiian Airlines Inc.",180,17.86,0,1.27,0,10.87,1797,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
9,"LAX","UA","United Air Lines Inc.",2225,98.69,21.98,105.56,0,80.77,18758,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
2,"LAX","OO","SkyWest Airlines Inc.",2704,68.44,11.82,178.91,0.38,191.46,35235,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
4,"LAX","DL","Delta Air Lines Inc.",2985,179.7,13.22,385.07,1,115.01,34110,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
5,"LAX","B6","JetBlue Airways",551,50.21,0,29.84,0,24.96,7330,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
10,"LAX","F9","Frontier Airlines Inc.",93,9.63,0.01,10.16,0,11.2,1871,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
1,"LAX","OO","SkyWest Airlines Inc.",2946,76.87,4.52,188.77,1.55,216.29,34504,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
3,"LAX","AS","Alaska Airlines Inc.",563,6.94,0.29,53.54,0.3,8.94,2649,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
7,"LAX","F9","Frontier Airlines Inc.",93,9.41,1.43,6.08,0,10.08,1932,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
5,"LAX","G4","Allegiant Air",99,5.33,0,4.61,0,5.06,1066,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
10,"LAX","AA","American Airlines Inc.",3507,222.06,21.9,335.51,0.39,210.14,46784,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
11,"LAX","B6","JetBlue Airways",505,38.95,3.01,53.71,0,18.33,6520,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
1,"LAX","B6","JetBlue Airways",529,45.01,4.01,17.45,0.14,20.39,6923,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
2,"LAX","NK","Spirit Air Lines",616,27.96,1.04,75.56,0,17.44,8672,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
11,"LAX","HA","Hawaiian Airlines Inc.",180,24.03,0,0.37,0.24,8.36,968,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
10,"LAX","DL","Delta Air Lines Inc.",2959,131.13,5.08,164.57,0,58.22,17862,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
10,"LAX","WN","Southwest Airlines Co.",3732,214.62,5.8,242.58,0.44,270.56,32232,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
7,"LAX","UA","United Air Lines Inc.",2773,129.73,31.48,137.29,0,182.5,34378,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
6,"LAX","G4","Allegiant Air",216,11.56,1.21,6.71,0,26.51,4114,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
11,"LAX","AS","Alaska Airlines Inc.",1675,54.15,9.53,100.46,0,88.85,14173,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
5,"LAX","OO","SkyWest Airlines Inc.",2594,55.08,7.04,237.26,0.47,172.15,26066,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
7,"LAX","AA","American Airlines Inc.",3587,229.51,51.55,198.64,1.29,267.01,50366,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
9,"LAX","NK","Spirit Air Lines",654,14.33,2.69,36.77,0.23,19.97,4426,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
8,"LAX","G4","Allegiant Air",177,7.91,0.82,3.08,0,13.2,1174,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
6,"LAX","OO","SkyWest Airlines Inc.",2648,88.33,6.3,116.07,0.35,191.94,27919,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
1,"LAX","F9","Frontier Airlines Inc.",124,7.22,0.79,8.6,0,8.39,1512,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
5,"LAX","F9","Frontier Airlines Inc.",93,7.03,0,9.32,0,8.65,1432,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
2,"LAX","VX","Virgin America",1104,40.91,0,99.17,0,36.92,8263,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
8,"LAX","B6","JetBlue Airways",547,37.88,8.81,54.74,0,40.58,9197,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
4,"LAX","UA","United Air Lines Inc.",2438,83.22,9.89,192.65,0,88.24,21344,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
3,"LAX","AA","American Airlines Inc.",3332,140.46,10.23,212.36,0.72,103.22,24902,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
11,"LAX","F9","Frontier Airlines Inc.",71,6.98,2,5.42,0,3.6,908,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
7,"LAX","DL","Delta Air Lines Inc.",3405,168.01,32.12,126.55,3,102.32,29915,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
7,"LAX","B6","JetBlue Airways",553,33.08,4.24,44.62,0,39.07,8668,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
12,"LAX","NK","Spirit Air Lines",679,17.91,2.77,49.9,0,9.42,4724,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
10,"LAX","B6","JetBlue Airways",491,28.9,0.82,86.85,0,14.43,7159,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
8,"LAX","AS","Alaska Airlines Inc.",1905,154.02,4.69,148.37,1,113.92,23181,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
11,"LAX","OO","SkyWest Airlines Inc.",2542,58,3.4,78.99,1,189.61,32390,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
4,"LAX","WN","Southwest Airlines Co.",3575,294.92,5.74,416.93,0.06,408.35,54937,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
8,"LAX","F9","Frontier Airlines Inc.",104,18.02,0,5.63,0,12.35,2026,"Los Angeles International Airport","Los Angeles","CA",33.94254,-118.40807
10,"ORD","B6","JetBlue Airways",229,22.15,0,46.8,0,14.05,4152,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
1,"ORD","9E","Endeavor Air Inc.",167,7.95,0,15.99,0,5.06,1412,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
2,"ORD","OH","PSA Airlines Inc.",164,11.33,0.93,16.96,0,12.78,3689,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
2,"ORD","VX","Virgin America",56,3.45,0,5.55,0,1,875,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
5,"ORD","MQ","Envoy Air",4783,154.89,80.41,418.51,1.78,357.42,86745,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
3,"ORD","DL","Delta Air Lines Inc.",617,30.93,1.41,30.58,0,19.08,3564,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
1,"ORD","AS","Alaska Airlines Inc.",156,3.48,0,13.52,0,1,620,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
6,"ORD","AS","Alaska Airlines Inc.",324,19.29,0,62.56,1,13.15,4640,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
4,"ORD","AS","Alaska Airlines Inc.",231,10.37,0,9.78,0,5.85,889,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
10,"ORD","OH","PSA Airlines Inc.",204,7.25,0,8.84,0,13.91,2057,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
2,"ORD","EV","ExpressJet Airlines Inc.",766,19.7,2.68,86.36,0,70.27,19031,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
7,"ORD","MQ","Envoy Air",5131,207.7,35.25,284.69,5.5,384.86,62932,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
12,"ORD","OH","PSA Airlines Inc.",178,4.09,1,6.54,0,11.37,1378,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
5,"ORD","9E","Endeavor Air Inc.",284,17.25,4.13,50.94,0,19.68,8429,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
12,"ORD","NK","Spirit Air Lines",704,21.19,2.71,37.56,0,20.54,4322,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
1,"ORD","B6","JetBlue Airways",171,26.06,1.77,12.46,0,15.72,4477,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
9,"ORD","NK","Spirit Air Lines",737,11.15,3.56,91.22,1.13,27.95,13370,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
4,"ORD","OH","PSA Airlines Inc.",170,11.51,0.77,11.11,0,18.62,2172,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
4,"ORD","DL","Delta Air Lines Inc.",696,35.54,2.38,23.97,0,22.11,3964,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
12,"ORD","OO","SkyWest Airlines Inc.",5467,220.69,24.93,523.17,1,643.21,112703,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
2,"ORD","YX","Republic Airline",1406,41.29,1.6,176.47,0,56.64,17528,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
11,"ORD","AS","Alaska Airlines Inc.",270,11.94,3.32,35.62,0,7.11,3644,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
6,"ORD","AA","American Airlines Inc.",5565,304.34,85.41,747.29,0.91,510.05,123661,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
4,"ORD","MQ","Envoy Air",4344,142.56,21.61,275.85,0.89,227.09,38273,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
12,"ORD","B6","JetBlue Airways",194,15.22,0,21.34,0,10.44,2660,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
3,"ORD","F9","Frontier Airlines Inc.",205,14.14,0,14.7,0,18.16,2628,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
4,"ORD","9E","Endeavor Air Inc.",267,12.2,3,18.72,0,17.08,4457,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
3,"ORD","VX","Virgin America",83,7.45,0,5,0,4.56,942,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
12,"ORD","9E","Endeavor Air Inc.",94,6.42,0,8.54,0,11.04,1270,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
10,"ORD","OO","SkyWest Airlines Inc.",6087,214.48,18.28,533.1,0,536.15,99531,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
8,"ORD","9E","Endeavor Air Inc.",171,6.01,1,26.59,0,9.4,3935,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
3,"ORD","AA","American Airlines Inc.",5206,222.09,13.34,229.34,0.36,201.88,35276,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
5,"ORD","AS","Alaska Airlines Inc.",292,13.74,0,46.16,0,9.1,3388,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
2,"ORD","AS","Alaska Airlines Inc.",114,1.59,0.76,21.08,0,2.57,1592,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
9,"ORD","F9","Frontier Airlines Inc.",235,22.78,0.88,21.39,0,35.94,6865,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
6,"ORD","F9","Frontier Airlines Inc.",240,27.47,4.16,34.4,0,40.97,9817,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
3,"ORD","YX","Republic Airline",1723,41.95,5.69,125.17,0,72.19,11635,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
3,"ORD","OH","PSA Airlines Inc.",181,10.79,0.41,12.47,0,9.33,1689,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
8,"ORD","YX","Republic Airline",1476,49.21,12.02,210.93,0.02,102.82,29156,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
7,"ORD","UA","United Air Lines Inc.",7247,313.66,80.63,626.35,0,571.36,128911,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
1,"ORD","MQ","Envoy Air",4704,180.21,54.05,427.38,2.18,434.19,69063,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
11,"ORD","F9","Frontier Airlines Inc.",225,23.47,0,23.28,0,29.24,5680,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
10,"ORD","YX","Republic Airline",1202,37.91,3.49,99.66,1,70.94,11430,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
6,"ORD","YX","Republic Airline",1647,58.01,11.48,208.48,1,122.03,33641,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
5,"ORD","OH","PSA Airlines Inc.",189,8.27,0.08,11.93,0,12.72,2759,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
6,"ORD","NK","Spirit Air Lines",870,14.53,13.02,226.92,0.36,22.18,20994,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
8,"ORD","B6","JetBlue Airways",258,28.1,0.34,49.94,0.78,14.84,7087,"Chicago O'Hare International Airport","Chicago","IL",41.9796,-87.90446
